scenario,split,wake_loss
standard,1000,0.08330605942541935
standard,1000,0.09110663431824617
standard,1000,0.08157180101733752
standard,1000,0.09466746286711081
standard,1000,0.0938910469948242
standard,1000,0.07260992327938409
standard,1000,0.07984905154365352
standard,1000,0.054934291498569765
standard,1000,0.05315731481978769
standard,1000,0.09125074692196655
standard,1000,0.07320826081422782
standard,1000,0.09784917054489883
standard,1000,0.08516107910962778
standard,1000,0.04722969205678729
standard,1000,0.06554084135566152
standard,1000,0.09519063190538213
standard,1000,0.05888218897679076
standard,1000,0.0018846911166763292
standard,1000,0.0
standard,1000,0.0
standard,1000,0.0
standard,1000,0.0
standard,1000,0.11917499001333876
standard,1000,0.15853638541106285
standard,1000,0.12618029234575434
standard,1000,0.12276947873797261
standard,1000,0.13341788187610626
standard,1000,0.49584711772529455
standard,1000,0.062089827165280775
standard,1000,0.07645567518034446
standard,1000,0.17140371907536445
standard,1000,0.14432153041203621
standard,1000,0.07703147955590184
standard,1000,0.0940560428549152
standard,1000,0.1290367165508508
standard,1000,0.21138067613145173
standard,1000,0.07475239982401538
standard,1000,0.11342001076817709
standard,1000,0.17595486287199436
standard,1000,0.08936433190644344
standard,1000,0.0648429749300895
standard,1000,0.07257219353810951
standard,1000,0.18456805133787568
standard,1000,0.10619622316121435
standard,1000,0.061091376475800985
standard,1000,0.12633759195927263
standard,1000,0.12763225828254543
standard,1000,0.1137915042844686
standard,1000,0.08317458658218779
standard,1000,0.08604330373000124
standard,1000,0.14288582141923467
standard,1000,0.10242580495069153
standard,1000,0.07033305940031709
standard,1000,0.08900919359354387
standard,1000,0.09612876238662316
standard,1000,0.0841560310990036
standard,1000,0.09008414785623264
standard,1000,0.14045309840214626
standard,1000,0.07797140159955074
standard,1000,0.1263831925407447
standard,1000,0.06256077086558909
standard,1000,0.06416145534148976
standard,1000,0.07077755209424219
standard,1000,0.08392277326680209
standard,1000,0.087817800912246
standard,1000,0.08690285829417488
standard,1000,0.3653287690120425
standard,1000,0.06670063635248269
standard,1000,0.13895549121373973
standard,1000,0.09051177167484548
standard,1000,0.06563481941619365
standard,1000,0.0837136668264572
standard,1000,0.10397530952309841
standard,1000,0.0839795032807088
standard,1000,0.07708783766329907
standard,1000,0.07442793424502925
standard,1000,0.07046962971643544
standard,1000,0.06951974524291815
standard,1000,0.08326925221330228
standard,1000,0.08970779441700205
standard,1000,0.08631604638535662
standard,1000,0.11054763397310441
standard,1000,0.07528782519201438
standard,1000,0.1288259495989481
standard,1000,0.07970123022533149
standard,1000,0.09227777671952941
standard,1000,0.07134227230425683
standard,1000,0.07643250251460731
standard,1000,0.0923703445859726
standard,1000,0.10372149253783147
standard,1000,0.09059980724905792
standard,1000,0.0804310308210926
standard,1000,0.08253636343714166
standard,1000,0.08925401499652075
standard,1000,0.08539516986294216
standard,1000,0.0806495928249904
standard,1000,0.08676619920392825
standard,1000,0.09327127988430284
standard,1000,0.12173667755488948
standard,1000,0.09354550137830431
standard,1000,0.08219362274957165
standard,1000,0.08346110963941789
standard,1000,0.0819055103766595
standard,1000,0.0732521840286311
standard,1000,0.08822341977480253
standard,1000,0.11051789343171958
standard,1000,0.09157868017332882
standard,1000,0.10063950723210102
standard,1000,0.08336089636688693
standard,1000,0.092105496148699
standard,1000,0.09019032329427568
standard,1000,0.09395231210646982
standard,1000,0.09185256436667033
standard,1000,0.09701013964320448
standard,1000,0.09011717503543959
standard,1000,0.08795250568012314
standard,1000,0.08086564516559402
standard,1000,0.10069380345954071
standard,1000,0.09528169897179029
standard,1000,0.09939878477000441
standard,1000,0.08785233439062101
standard,1000,0.09164530064958654
standard,1000,0.09014220047024946
standard,1000,0.0924208000056368
standard,1000,0.09651429964166658
standard,1000,0.09805896438278061
standard,1000,0.08663614885412618
standard,1000,0.09358363521505175
standard,1000,0.10565328009077479
standard,1000,0.09398046180238528
standard,1000,0.11759819910261526
standard,1000,0.10895900305136752
standard,1000,0.09066621451197698
standard,1000,0.08765681897553823
standard,1000,0.09340541901413213
standard,1000,0.10252675466141703
standard,1000,0.09442580938319656
standard,1000,0.09933422460907293
standard,1000,0.09288419675303838
standard,1000,0.09147289149965965
standard,1000,0.10342354583998326
standard,1000,0.10872504055013621
standard,1000,0.10062547421916401
standard,1000,0.0954503359936173
standard,1000,0.09004935898390809
standard,1000,0.09544361160039716
standard,1000,0.1061371118341331
standard,1000,0.11386496712422134
standard,1000,0.10002541411689259
standard,1000,0.10222129053481843
standard,1000,0.10058032218715929
standard,1000,0.11054883166883134
standard,1000,0.11013632530092132
standard,1000,0.0984432793105795
standard,1000,0.10210162448382831
standard,1000,0.10851423144274097
standard,1000,0.113862065023289
standard,1000,0.09197390404317551
standard,1000,0.0971547825670741
standard,1000,0.099908845800454
standard,1000,0.10395407811791313
standard,1000,0.10487526799099622
standard,1000,0.08872397950563482
standard,1000,0.11092985187865889
standard,1000,0.124027768465925
standard,1000,0.11190199402531165
standard,1000,0.11698048537641126
standard,1000,0.10602351443857161
standard,1000,0.09396298369584666
standard,1000,0.10710691126900629
standard,1000,0.10418379998721605
standard,1000,0.09889071193459709
standard,1000,0.11618746815157521
standard,1000,0.09890172866846747
standard,1000,0.12137679528694423
standard,1000,0.11113040268634733
standard,1000,0.11104587618251516
standard,1000,0.11879459379107704
standard,1000,0.09605802852813061
standard,1000,0.11508261191116909
standard,1000,0.09416404927613564
standard,1000,0.10665299406858031
standard,1000,0.1087369707941167
standard,1000,0.0988749564921575
standard,1000,0.08274602064904224
standard,1000,0.10209416453946318
standard,1000,0.09926478228166047
standard,1000,0.10310193769538711
standard,1000,0.09802912975379396
standard,1000,0.09998186910131102
standard,1000,0.09643080018663497
standard,1000,0.09801065715419865
standard,1000,0.12808602650229306
standard,1000,0.12440885224074671
standard,1000,0.05941129408021095
standard,1000,0.10269663344755309
standard,1000,0.07291440694614981
standard,1000,0.10666842168349822
standard,1000,0.1272982367464951
standard,1000,0.02522422220687337
standard,1000,0.025304452173871006
standard,1000,0.03158451675609042
standard,1000,0.02940892369513093
standard,1000,0.026353344952560143
standard,1000,0.04540444787304665
standard,1000,0.03243346187612739
standard,1000,0.031206375570166922
standard,1000,0.033991680004102354
standard,1000,0.050037311570774845
standard,1000,0.029387779137278858
